Age,Job,Qualification,Hstatus,ManufacturingYear,Cc,Vage,Use,Mileage,Premium,Tclaim,InsuranceVal,Decision
26,Employee,HigherEdu,GoodHealth,2015,1000,5,Commercial,46210,5040,High,80000,rejection
33,Employee,MiddleEdu,GoodHealth,2015,1200,5,Private,42554,5046,Medium,87000,rejection
58,Employee,HigherEdu,Stable,2016,1500,4,Private,30542,5220,Low,90000,acception
40,PrivateJob,HigherEdu,GoodHealth,2016,1500,4,Private,10255,5107.65,Low,100150,acception
50,PrivateJob,HigherEdu,GoodHealth,2016,1500,4,Private,15035,5214.24,Low,102240,acception
54,PrivateJob,MiddleEdu,GoodHealth,2016,1600,4,Private,32012,6171,Low,121000,acception
60,PrivateJob,MiddleEdu,GoodHealth,2016,1600,4,Private,32253,7285,Low,155000,acception
23,PrivateJob,BasicEdu,GoodHealth,2016,3200,4,Private,56000,8120,Medium,280000,rejection
25,Employee,HigherEdu,GoodHealth,2011,3200,9,Private,40658,8325,High,185000,rejection
25,Employee,HigherEdu,Stable,2013,1600,7,Private,30545,5510,Low,95000,acception
64,PrivateJob,BasicEdu,Stable,2013,1600,7,Private,35066,5253,Low,103000,acception
36,PrivateJob,MiddleEdu,GoodHealth,2016,3500,4,Private,50548,8400,High,350000,rejection
25,PrivateJob,MiddleEdu,GoodHealth,2014,3800,6,Private,53232,7540,Medium,260000,rejection
42,PrivateJob,HigherEdu,GoodHealth,2015,1200,5,Private,40212,5684,Medium,98000,rejection
43,Employee,HigherEdu,GoodHealth,2015,1200,5,Private,12500,5304,Low,104000,acception
47,Employee,MiddleEdu,GoodHealth,2016,1200,4,Private,11025,5814,Low,114000,acception
62,Employee,MiddleEdu,Stable,2015,1600,5,Private,35025,8178,Medium,174000,acception
24,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,34545,8190,Medium,182000,acception
28,PrivateJob,MiddleEdu,Stable,2016,3600,4,Private,36989,18600,Medium,775000,rejection
40,PrivateJob,MiddleEdu,GoodHealth,2016,3600,4,Commercial,42050,18720,Medium,780000,rejection
25,PrivateJob,HigherEdu,GoodHealth,2016,1200,4,Private,34552,6069,Medium,119000,acception
23,Employee,MiddleEdu,GoodHealth,2014,1200,6,Private,57212,6630,High,130000,rejection
24,PrivateJob,HigherEdu,GoodHealth,2013,1200,7,Commercial,60900,6222,Medium,122000,rejection
50,PrivateJob,MiddleEdu,Stable,2012,1200,8,Commercial,36024,5865,High,115000,rejection
46,Employee,HigherEdu,GoodHealth,2011,1200,9,Private,46528,5610,High,110000,rejection
63,Employee,MiddleEdu,Stable,2010,1600,10,Commercial,33215,5355,Medium,105000,acception
24,Employee,HigherEdu,GoodHealth,2010,2000,10,Commercial,31456,6630,High,130000,acception
21,PrivateJob,MiddleEdu,GoodHealth,2015,1600,5,Private,45821,7473,High,159000,rejection
56,Employee,HigherEdu,GoodHealth,2014,1600,6,Private,34568,7038,Medium,138000,acception
60,PrivateJob,HigherEdu,Stable,2012,1600,8,Commercial,32547,6222,High,122000,acception
22,Employee,HigherEdu,GoodHealth,2015,3600,5,Private,49227,16080,High,670000,rejection
